date,machineId,temprature,vibration,pressure
2021-10-18 21:17:16,MACH000009,57.67,1.923,9.44
2024-01-15 22:44:23,MACH000003,60.18,2.286,9.86
2024-12-02 10:45:16,MACH000008,54.51,1.623,7.62
2024-09-03 13:20:20,MACH000005,58.82,2.54,8.48
2024-03-21 22:40:38,MACH000010,57.4,2.248,7.97
2021-02-18 05:22:01,MACH000003,50.4,1.441,7.47
2024-03-20 17:54:26,MACH000009,55.58,1.782,9.27
2025-02-05 21:19:18,MACH000009,57.0,2.088,9.26
2022-12-17 03:26:02,MACH000008,59.55,2.073,8.61
2022-11-20 06:51:32,MACH000003,55.67,2.145,8.41
2025-04-03 13:30:11,MACH000003,58.5,2.466,9.28
2022-06-07 03:56:23,MACH000010,53.95,2.168,9.38
2022-10-19 16:02:31,MACH000010,50.92,1.952,8.51
2023-07-10 22:09:06,MACH000003,47.75,1.192,6.93
2022-10-20 06:15:49,MACH000006,52.5,1.802,9.07
2024-05-30 02:27:13,MACH000002,47.44,1.212,7.21
2024-09-10 22:38:15,MACH000009,49.76,1.665,8.97
2022-09-18 08:29:31,MACH000002,43.78,1.29,8.26
2020-02-22 07:56:13,MACH000010,51.79,1.714,7.82
2023-05-19 18:12:53,MACH000008,49.01,1.611,9.02
2020-02-08 17:06:09,MACH000010,53.57,1.99,8.33
2023-05-15 15:34:45,MACH000004,55.14,1.744,7.77
2020-12-17 06:26:04,MACH000004,48.64,1.766,8.05
2023-02-20 10:32:56,MACH000005,60.62,1.895,7.95
2025-08-11 12:16:48,MACH000001,60.45,1.939,8.65
2023-05-16 13:19:22,MACH000004,54.36,2.173,7.99
2023-05-20 20:18:06,MACH000006,57.05,2.004,7.69
2021-12-21 11:51:05,MACH000010,55.82,2.193,8.25
2025-09-26 00:31:23,MACH000002,52.67,1.706,8.4
2024-12-07 06:31:23,MACH000003,49.24,1.685,8.27
2022-07-12 02:51:41,MACH000004,52.54,1.813,8.11
2023-10-29 04:17:01,MACH000003,52.86,1.58,8.56
2024-10-14 14:33:18,MACH000009,59.84,1.993,8.76
2021-08-28 03:53:22,MACH000006,60.14,2.362,8.82
2021-01-05 22:30:03,MACH000005,50.29,1.897,8.97
2021-12-08 14:20:38,MACH000005,54.89,2.128,9.32
2024-01-27 01:28:31,MACH000002,56.53,2.024,8.7
2023-12-25 15:59:52,MACH000009,66.2,2.837,7.83
2021-10-08 04:42:48,MACH000002,48.65,1.905,7.49
2020-05-06 20:10:14,MACH000005,63.52,2.427,8.57
2021-10-21 09:42:41,MACH000007,54.34,1.751,8.78
2021-07-19 23:28:03,MACH000003,51.9,2.004,8.3
2020-08-21 17:24:40,MACH000008,50.47,1.528,8.06
2023-10-30 10:49:31,MACH000005,51.37,1.813,8.77
2020-02-09 04:22:37,MACH000010,60.02,2.293,8.23
2021-06-01 19:22:33,MACH000003,59.79,1.965,7.97
2022-03-04 16:29:13,MACH000003,55.27,2.342,8.27
2024-10-14 09:58:12,MACH000003,55.95,1.909,8.12
2025-11-27 02:50:41,MACH000003,56.24,1.747,8.87
2020-05-11 20:32:46,MACH000004,47.55,1.54,8.58
2022-10-25 17:59:35,MACH000010,50.29,1.519,7.94
2024-09-05 11:06:22,MACH000001,62.08,2.464,8.26
2024-09-02 01:50:05,MACH000003,59.43,2.361,8.58
2022-03-09 09:03:12,MACH000010,56.92,1.969,9.07
2021-03-12 10:55:31,MACH000010,50.64,2.07,8.46
2025-02-08 05:49:27,MACH000005,56.73,2.195,8.94
2020-09-23 12:24:35,MACH000008,55.7,1.797,8.94
2022-09-24 14:04:53,MACH000008,54.73,1.816,9.28
2022-10-13 03:51:17,MACH000009,59.27,2.517,9.0
2020-09-15 12:13:55,MACH000009,53.21,1.819,8.61
2024-04-05 14:12:44,MACH000006,55.4,2.082,8.97
2024-05-13 22:27:10,MACH000010,52.63,1.894,8.93
2024-01-20 14:37:05,MACH000007,56.95,2.138,8.97
2023-06-03 08:37:45,MACH000004,50.69,1.546,8.28
2021-09-01 03:44:43,MACH000003,88.02659242806627,4.965662809247241,8.93
2020-04-09 08:49:37,MACH000003,57.38,2.036,7.61
2022-09-28 16:09:45,MACH000002,52.86,1.932,7.86
2022-09-12 14:57:01,MACH000008,54.54,1.957,9.27
2024-10-25 17:49:01,MACH000007,62.53,2.491,7.9
2025-05-31 01:50:22,MACH000008,60.52,2.202,7.95
2021-11-28 23:17:34,MACH000006,57.98,2.227,9.03
2023-07-16 02:15:35,MACH000010,55.85,2.437,8.14
2021-01-29 21:31:57,MACH000010,54.75,1.83,7.64
2021-02-25 16:27:02,MACH000005,51.41,1.623,10.36
2022-11-01 16:14:51,MACH000001,50.92,2.174,9.3
2023-03-22 17:49:49,MACH000008,51.77,1.792,8.72
2021-09-29 19:10:31,MACH000002,56.92,2.063,9.0
2024-05-11 09:52:20,MACH000001,54.28,2.239,9.78
2021-11-10 21:38:23,MACH000009,53.75,1.929,7.54
2022-11-27 06:23:13,MACH000008,54.25,2.011,9.1
2025-05-27 02:33:18,MACH000009,48.77,1.409,9.88
2022-03-18 04:06:12,MACH000005,52.62,1.787,8.61
2023-04-20 12:46:15,MACH000003,53.38,1.689,8.16
2023-10-11 17:22:32,MACH000008,47.82,1.181,9.89
2024-03-17 18:18:35,MACH000004,56.68,2.202,9.06
2025-10-23 10:24:59,MACH000001,56.58,2.3,8.13
2023-07-16 10:14:04,MACH000009,59.99,2.216,8.23
2022-03-02 14:20:24,MACH000004,54.75,2.256,8.61
2025-06-24 16:19:56,MACH000002,52.93,1.822,8.16
2021-08-22 00:58:40,MACH000010,52.03,2.024,9.23
2022-02-16 06:57:28,MACH000003,58.15,2.207,8.79
2023-01-10 19:02:47,MACH000006,58.02,1.824,8.2
2022-09-15 07:34:24,MACH000009,56.54,1.956,9.42
2021-07-11 12:49:47,MACH000006,53.81,2.368,8.45
2025-12-01 19:24:55,MACH000004,61.77,2.516,7.74
2020-10-01 12:08:55,MACH000001,54.49,1.849,9.06
2021-11-30 21:53:02,MACH000002,52.93,1.853,7.97
2020-05-27 05:07:22,MACH000007,57.55,2.109,9.87
2021-07-17 20:00:50,MACH000003,53.06,1.72,9.05
2022-08-20 06:12:32,MACH000002,49.57,1.677,9.31
2023-03-31 04:33:11,MACH000006,63.59,2.739,8.01
2025-08-25 07:58:26,MACH000004,58.12,2.089,8.9
2025-06-20 03:16:50,MACH000001,55.35,2.049,8.37
2022-11-23 08:30:24,MACH000009,55.58,2.011,8.77
2025-11-30 09:46:34,MACH000009,50.37,1.934,9.65
2021-07-27 21:17:56,MACH000005,55.35,1.772,9.28
2023-07-20 07:06:33,MACH000008,53.98,2.04,7.19
2025-06-09 09:44:59,MACH000006,52.85,1.873,8.0
2025-02-09 01:15:52,MACH000007,50.31,1.436,7.57
2021-08-17 01:42:35,MACH000006,50.46,1.638,8.92
2022-07-03 13:41:53,MACH000007,54.97,2.208,8.17
2024-06-23 23:17:52,MACH000003,54.77,1.841,8.25
2020-02-22 14:39:43,MACH000003,55.74,2.213,9.17
2025-12-19 08:39:25,MACH000010,52.84,2.177,8.37
2021-09-22 11:47:35,MACH000003,52.05,1.929,9.13
2025-07-27 06:16:04,MACH000010,58.13,2.344,7.94
2025-09-24 02:37:22,MACH000006,56.1,1.722,8.53
2023-12-02 13:05:47,MACH000001,57.47,2.184,9.3
2021-09-16 05:38:47,MACH000009,60.69,2.133,9.11
2023-05-13 22:14:45,MACH000009,84.44839974800003,7.075578562066559,7.87
2021-08-30 02:22:18,MACH000004,50.31,1.883,8.23
2024-09-21 16:30:56,MACH000002,51.41,1.803,8.21
2021-01-29 01:07:46,MACH000007,51.91,1.738,8.26
2024-08-27 16:37:02,MACH000007,52.67,1.693,8.96
2023-07-03 18:43:25,MACH000006,53.92,1.473,8.82
2024-12-15 03:22:42,MACH000008,58.77,2.08,7.89
2021-06-20 03:03:28,MACH000003,51.16,1.693,8.29
2024-08-28 13:24:20,MACH000002,53.78,1.995,8.98
2022-11-08 06:49:34,MACH000010,56.41,1.873,7.99
2020-10-28 15:47:25,MACH000001,56.2,1.758,8.66
2025-07-02 23:09:14,MACH000003,54.7,2.086,8.9
2023-02-04 01:19:04,MACH000008,58.2,1.994,8.96
2023-02-25 10:24:14,MACH000008,56.52,1.831,9.23
2023-06-17 14:11:53,MACH000007,66.42,2.945,7.4
2020-04-01 07:02:19,MACH000002,48.62,1.535,7.67
2021-12-07 20:10:26,MACH000003,55.95,2.221,7.45
2024-04-11 08:28:46,MACH000007,48.69,1.665,8.08
2022-10-29 03:56:15,MACH000008,57.03,1.987,7.95
2021-07-21 05:08:54,MACH000009,59.9,2.244,7.27
