id,date,customerId,productId,orderChannel,quantaty,unitPrice,discount,totalPrice
ORD000001,2025-09-15 20:02:16,CUS000013,PROD000007,Messe,7,202.03,0.108,1261.48
ORD000002,2025-05-07 20:10:14,CUS000042,PROD000004,Interner Vertrieb,2,439.9,0.087,803.26
ORD000003,2025-09-29 01:02:09,CUS000143,PROD000015,Partner B,9,834.88,0.002,7498.89
ORD000004,2025-06-27 14:47:31,CUS000079,PROD000019,Onlineshop,1,1669.62,0.116,1475.94
ORD000005,2025-08-22 17:24:40,CUS000018,PROD000009,Messe,1,993.94,0.062,932.32
ORD000006,2025-08-22 08:47:55,CUS000050,PROD000011,Partner E,3,231.87,0.119,612.83
ORD000007,2025-02-09 04:22:37,CUS000002,PROD000008,Interner Vertrieb,6,292.42,0.029,1703.64
ORD000008,2025-07-04 10:01:21,CUS000087,PROD000001,Partner C,5,1692.54,0.034,8174.97
ORD000009,2025-05-10 10:42:01,CUS000107,PROD000008,Partner C,2,292.42,0.093,530.45
ORD000010,2025-01-17 23:08:09,CUS000141,PROD000013,Partner B,9,235.2,0.025,2063.88
ORD000011,2025-07-14 23:16:04,CUS000196,PROD000004,Messe,10,439.9,0.066,4108.67
ORD000012,2025-08-04 07:28:01,CUS000047,PROD000008,Partner B,4,292.42,0.019,1147.46
ORD000013,2025-08-14 23:01:39,CUS000089,PROD000003,Partner A,4,292.75,0.06,1100.74
ORD000014,2025-11-27 14:19:07,CUS000178,PROD000009,Interner Vertrieb,5,993.94,0.078,4582.06
ORD000015,2025-05-12 20:32:46,CUS000012,PROD000002,Partner B,8,498.02,0.081,3661.44
ORD000016,2025-06-27 18:21:47,CUS000013,PROD000002,Partner E,10,498.02,0.062,4671.43
ORD000017,2025-08-30 03:08:54,CUS000137,PROD000013,Partner B,4,235.2,0.097,849.54
ORD000018,2025-01-31 21:39:55,CUS000059,PROD000015,Onlineshop,5,834.88,0.087,3811.23
ORD000019,2025-05-29 14:30:20,CUS000173,PROD000012,Partner A,4,324.04,0.076,1197.65
ORD000020,2025-09-10 00:38:31,CUS000198,PROD000004,Partner C,6,439.9,0.049,2510.07
ORD000021,2025-06-06 00:24:14,CUS000043,PROD000008,Partner E,3,292.42,0.133,760.58
ORD000022,2025-03-16 01:13:06,CUS000074,PROD000009,Partner A,8,993.94,0.099,7164.32
ORD000023,2025-06-02 15:07:57,CUS000023,PROD000005,Partner D,6,1086.81,0.028,6338.28
ORD000024,2025-01-22 15:42:08,CUS000079,PROD000020,Onlineshop,10,905.55,0.112,8041.28
ORD000025,2025-02-18 02:14:59,CUS000173,PROD000018,Partner D,5,550.74,0.124,2412.24
ORD000026,2025-05-07 16:34:57,CUS000023,PROD000011,Partner C,2,231.87,0.076,428.5
ORD000027,2025-11-08 19:07:19,CUS000101,PROD000015,Messe,10,834.88,0.079,7689.24
ORD000028,2025-09-24 12:24:35,CUS000162,PROD000009,Messe,10,993.94,0.0,9939.4
ORD000029,2025-12-16 03:26:57,CUS000144,PROD000017,Partner A,7,405.5,0.038,2730.64
ORD000030,2025-06-13 02:14:21,CUS000191,PROD000012,Partner E,2,324.04,0.122,569.01
ORD000031,2025-08-09 20:43:49,CUS000109,PROD000007,Interner Vertrieb,1,202.03,0.041,193.75
ORD000032,2025-08-28 10:30:13,CUS000179,PROD000010,Interner Vertrieb,7,616.11,0.072,4002.25
ORD000033,2025-09-16 12:13:55,CUS000111,PROD000010,Partner B,5,616.11,0.037,2966.57
ORD000034,2025-09-14 20:25:25,CUS000160,PROD000013,Messe,1,235.2,0.092,213.56
ORD000035,2025-01-04 03:30:36,CUS000166,PROD000019,Partner C,4,1669.62,0.1,6010.63
ORD000036,2025-02-11 11:45:02,CUS000184,PROD000011,Partner B,4,231.87,0.101,833.8
ORD000037,2025-11-12 12:35:29,CUS000197,PROD000013,Partner A,10,235.2,0.023,2297.9
ORD000038,2025-03-26 06:36:09,CUS000017,PROD000008,Messe,7,292.42,0.085,1872.95
ORD000039,2025-08-09 19:04:11,CUS000086,PROD000008,Partner B,9,292.42,0.159,2213.33
ORD000040,2025-04-10 08:49:37,CUS000039,PROD000004,Partner B,2,439.9,0.117,776.86
ORD000041,2025-08-13 22:48:41,CUS000041,PROD000015,Messe,1,834.88,0.085,763.92
ORD000042,2025-07-28 21:35:57,CUS000048,PROD000011,Partner D,2,231.87,0.0,463.74
ORD000043,2025-08-26 19:22:11,CUS000156,PROD000011,Partner A,7,231.87,0.068,1512.72
ORD000044,2025-07-26 07:06:53,CUS000077,PROD000001,Partner C,10,1692.54,0.162,14183.49
ORD000045,2025-02-05 06:27:42,CUS000178,PROD000017,Messe,6,405.5,0.146,2077.78
ORD000046,2025-11-06 14:37:02,CUS000001,PROD000015,Messe,4,834.88,0.103,2995.55
ORD000047,2025-05-08 00:13:59,CUS000117,PROD000020,Interner Vertrieb,1,905.55,0.044,865.71
ORD000048,2025-01-07 12:51:25,CUS000178,PROD000006,Partner B,1,619.05,0.083,567.67
ORD000049,2025-02-03 07:46:30,CUS000019,PROD000015,Partner A,5,834.88,0.119,3677.65
ORD000050,2025-09-16 22:53:47,CUS000059,PROD000009,Partner C,1,993.94,0.127,867.71
ORD000051,2025-11-03 10:52:40,CUS000196,PROD000014,Onlineshop,7,292.78,0.096,1852.71
ORD000052,2025-01-12 15:48:13,CUS000107,PROD000018,Partner B,11,550.74,0.123,5312.99
ORD000053,2025-09-07 10:29:59,CUS000195,PROD000017,Onlineshop,1,405.5,0.077,374.28
ORD000054,2025-02-08 23:10:12,CUS000169,PROD000018,Partner D,1,550.74,0.075,509.43
ORD000055,2025-10-19 12:57:51,CUS000138,PROD000005,Partner F,2,1086.81,0.057,2049.72
ORD000056,2025-09-13 03:26:36,CUS000028,PROD000020,Messe,11,905.55,0.101,8954.98
ORD000057,2025-10-12 13:02:09,CUS000034,PROD000020,Partner C,10,905.55,0.13,7878.28
ORD000058,2025-02-01 07:10:38,CUS000039,PROD000009,Partner B,3,993.94,0.115,2638.91
ORD000059,2025-01-31 10:45:08,CUS000126,PROD000011,Partner E,11,231.87,0.019,2502.11
ORD000060,2025-02-10 10:44:39,CUS000083,PROD000001,Onlineshop,1,1692.54,0.022,1655.3
ORD000061,2025-09-16 00:53:45,CUS000106,PROD000018,Partner A,9,550.74,0.135,4287.51
ORD000062,2025-08-03 15:20:56,CUS000184,PROD000006,Messe,10,619.05,0.089,5639.55
ORD000063,2025-09-30 00:03:07,CUS000180,PROD000002,Interner Vertrieb,8,498.02,0.091,3621.6
ORD000064,2025-06-30 15:02:19,CUS000110,PROD000015,Interner Vertrieb,5,834.88,0.09,3798.7
ORD000065,2025-05-08 08:12:28,CUS000121,PROD000014,Partner A,11,292.78,0.168,2679.52
ORD000066,2025-01-15 20:59:20,CUS000107,PROD000005,Messe,2,1086.81,0.058,2047.55
ORD000067,2025-12-25 11:03:56,CUS000131,PROD000006,Partner C,5,619.05,0.136,2674.3
ORD000068,2025-09-22 13:22:22,CUS000023,PROD000006,Interner Vertrieb,6,619.05,0.092,3372.58
ORD000069,2025-03-01 20:57:16,CUS000145,PROD000018,Messe,1,550.74,0.0,550.74
ORD000070,2025-07-30 16:18:08,CUS000071,PROD000014,Onlineshop,11,292.78,0.039,3094.98
ORD000071,2025-01-01 13:36:24,CUS000154,PROD000010,Messe,4,616.11,0.05,2341.22
ORD000072,2025-05-05 20:51:18,CUS000107,PROD000014,Partner A,9,292.78,0.135,2279.29
ORD000073,2025-03-17 21:09:28,CUS000146,PROD000013,Interner Vertrieb,2,235.2,0.141,404.07
ORD000074,2025-11-26 01:41:43,CUS000046,PROD000003,Partner C,5,292.75,0.098,1320.3
ORD000075,2025-07-31 14:13:20,CUS000070,PROD000006,Onlineshop,1,619.05,0.054,585.62
ORD000076,2025-06-19 04:09:15,CUS000031,PROD000008,Partner D,4,292.42,0.034,1129.91
ORD000077,2025-08-09 00:02:15,CUS000093,PROD000012,Partner D,4,324.04,0.137,1118.59
ORD000078,2025-10-02 12:08:55,CUS000137,PROD000013,Onlineshop,6,235.2,0.016,1388.62
ORD000079,2025-11-08 13:12:30,CUS000118,PROD000011,Partner B,10,231.87,0.075,2144.8
ORD000080,2025-05-28 05:07:22,CUS000163,PROD000012,Partner D,9,324.04,0.198,2338.92
ORD000081,2025-06-25 11:20:18,CUS000081,PROD000001,Partner B,3,1692.54,0.054,4803.43
ORD000082,2025-07-05 12:51:28,CUS000060,PROD000017,Interner Vertrieb,9,405.5,0.016,3591.11
ORD000083,2025-01-21 02:31:35,CUS000076,PROD000016,Partner A,6,741.45,0.0,4448.7
ORD000084,2025-05-02 12:35:46,CUS000063,PROD000011,Onlineshop,7,231.87,0.2,1298.47
ORD000085,2025-02-25 07:54:10,CUS000100,PROD000013,Messe,10,235.2,0.097,2123.86
ORD000086,2025-10-08 15:09:20,CUS000180,PROD000018,Partner B,2,550.74,0.037,1060.73
ORD000087,2025-08-07 14:23:54,CUS000048,PROD000011,Partner A,11,231.87,0.071,2369.48
ORD000088,2025-07-05 12:37:24,CUS000189,PROD000012,Interner Vertrieb,10,324.04,0.047,3088.1
ORD000089,2025-08-09 00:16:41,CUS000152,PROD000006,Messe,6,619.05,0.0,3714.3
