date,machineId,temprature,vibration,pressure
2025-02-10 06:50:34,MACH000002,47.76,1.813,7.8
2025-08-29 17:02:39,MACH000010,60.86,2.279,9.14
2025-06-24 03:07:33,MACH000008,55.1,2.295,6.97
2025-02-26 08:06:30,MACH000003,50.81,1.741,7.91
2025-01-25 11:26:13,MACH000002,45.61,1.511,8.22
2025-09-23 14:39:27,MACH000003,56.28,2.387,8.3
2025-10-17 01:28:45,MACH000003,48.74,1.249,8.7
2025-01-14 13:53:00,MACH000001,52.32,1.853,8.33
2025-07-18 03:02:16,MACH000003,54.81,1.639,8.08
2025-07-26 07:16:02,MACH000003,50.03,1.416,8.76
2025-10-19 16:14:15,MACH000004,61.61,2.408,8.94
2025-03-30 08:38:42,MACH000008,50.9,1.562,9.53
2025-01-06 21:09:46,MACH000009,50.03,1.79,8.21
2025-02-03 11:13:02,MACH000001,55.91,2.07,8.42
2025-04-09 10:00:27,MACH000001,53.58,1.77,8.66
2025-07-25 06:27:08,MACH000006,62.72,2.152,7.9
2025-08-25 00:35:08,MACH000001,60.63,2.568,7.86
2025-03-04 01:07:34,MACH000005,61.0,2.394,8.88
2025-07-17 13:47:41,MACH000001,57.2,1.962,9.13
2025-03-23 21:48:28,MACH000008,57.69,2.006,8.41
2025-09-16 19:40:04,MACH000005,53.51,1.695,8.8
2025-11-05 05:52:43,MACH000006,57.71,2.181,8.29
2025-10-23 14:23:24,MACH000004,52.36,1.998,8.94
2025-12-02 23:15:12,MACH000008,54.48,2.054,8.24
2025-09-20 00:48:30,MACH000009,49.44,1.91,9.41
2025-02-21 14:25:30,MACH000009,80.62171937288788,6.199342224660456,8.78
2025-02-08 09:02:35,MACH000001,57.24,2.434,7.97
2025-08-08 03:32:13,MACH000007,59.37,2.252,8.26
2025-10-02 08:58:36,MACH000004,56.8,1.734,8.36
2025-02-21 02:09:30,MACH000010,60.49,2.071,8.35
2025-04-28 20:19:26,MACH000008,49.33,1.589,8.66
2025-01-27 06:29:44,MACH000007,57.1,2.061,8.37
2025-01-31 16:53:03,MACH000001,51.48,1.647,7.59
2025-12-21 20:10:54,MACH000001,56.68,2.206,8.47
2025-01-11 01:46:15,MACH000001,51.75,2.025,8.07
2025-04-09 10:09:22,MACH000002,52.72,1.411,8.63
2025-11-17 03:22:22,MACH000010,58.42,2.353,8.63
2025-07-15 17:49:37,MACH000002,55.97,1.954,7.71
2025-12-05 15:37:46,MACH000009,51.66,1.458,7.58
2025-02-12 01:17:28,MACH000005,48.97,1.374,8.45
2025-10-25 13:24:48,MACH000001,51.49,1.685,8.57
2025-01-04 07:12:40,MACH000007,54.72,1.863,8.18
2025-06-04 02:03:39,MACH000010,50.15,1.518,8.67
2025-02-15 18:48:33,MACH000002,55.99,1.795,8.74
2025-10-03 07:36:10,MACH000003,50.61,2.114,8.88
2025-06-26 07:34:44,MACH000004,54.23,1.966,7.92
2025-04-06 10:31:41,MACH000003,56.3,2.195,8.95
2025-12-09 05:50:25,MACH000003,53.06,2.079,8.05
2025-06-19 17:01:02,MACH000009,59.24,2.147,8.03
2025-08-02 22:53:08,MACH000004,56.47,2.04,8.93
2025-01-26 23:41:51,MACH000008,51.29,1.809,8.51
2025-06-29 15:43:18,MACH000001,50.47,1.508,8.26
