id,productId,charge,date,shouldRatePerMinute,currentRatePerMinute
TEST000001,PROD000012,CHARGE000001,2025-06-17 09:37:59,0.5,0.2984932348822342
TEST000002,PROD000016,CHARGE000002,2025-06-29 21:12:24,0.5,0.5023559526881884
TEST000003,PROD000002,CHARGE000003,2025-04-22 19:50:02,10.0,10.014793392436305
TEST000004,PROD000018,CHARGE000004,2025-12-21 11:54:09,10.0,10.04773021736849
TEST000005,PROD000018,CHARGE000005,2025-07-18 15:45:50,10.0,10.04773021736849
TEST000006,PROD000020,CHARGE000006,2025-05-31 13:07:30,1.0,1.0004620273359321
TEST000007,PROD000001,CHARGE000007,2025-04-04 20:50:20,10.0,10.020503403520998
TEST000008,PROD000017,CHARGE000008,2025-12-11 20:21:48,1.0,0.9968975355662444
TEST000009,PROD000003,CHARGE000009,2025-11-12 10:29:23,1.0,0.998109347037581
TEST000010,PROD000020,CHARGE000010,2025-05-26 08:24:00,1.0,1.0004620273359321
TEST000011,PROD000006,CHARGE000011,2025-06-27 10:40:03,10.0,9.951947671223916
TEST000012,PROD000013,CHARGE000012,2025-02-15 07:48:17,1.0,0.9983072806753286
TEST000013,PROD000004,CHARGE000013,2025-05-17 07:34:01,0.5,0.5027569204273111
TEST000014,PROD000009,CHARGE000014,2025-04-30 13:13:10,10.0,10.047797383963367
TEST000015,PROD000008,CHARGE000015,2025-02-27 17:45:36,1.0,0.9970952211479145
TEST000016,PROD000008,CHARGE000016,2025-06-09 10:20:22,1.0,0.9970952211479145
TEST000017,PROD000017,CHARGE000017,2025-05-14 20:22:16,1.0,0.9968975355662444
TEST000018,PROD000015,CHARGE000018,2025-09-11 16:34:54,0.5,0.4962233524644983
TEST000019,PROD000015,CHARGE000019,2025-03-28 13:39:25,0.5,0.4962233524644983
TEST000020,PROD000012,CHARGE000020,2025-05-11 00:39:20,0.5,0.4984932348822342
TEST000021,PROD000008,CHARGE000021,2025-08-15 02:49:05,1.0,0.9970952211479145
TEST000022,PROD000019,CHARGE000022,2025-03-28 00:40:09,1.0,1.003892418277343
TEST000023,PROD000012,CHARGE000023,2025-09-02 14:15:07,0.5,0.4984932348822342
TEST000024,PROD000004,CHARGE000024,2025-07-16 19:26:53,0.5,0.5027569204273111
TEST000025,PROD000009,CHARGE000025,2025-07-11 17:05:55,10.0,10.047797383963367
TEST000026,PROD000016,CHARGE000026,2025-07-22 22:36:51,0.5,0.5023559526881884
TEST000027,PROD000014,CHARGE000027,2025-08-18 04:59:31,10.0,9.958878530602599
TEST000028,PROD000014,CHARGE000028,2025-10-25 04:41:39,10.0,9.958878530602599
TEST000029,PROD000002,CHARGE000029,2025-09-18 00:59:02,10.0,10.014793392436305
TEST000030,PROD000006,CHARGE000030,2025-09-16 05:49:11,10.0,9.951947671223916
TEST000031,PROD000020,CHARGE000031,2025-07-17 03:00:07,1.0,1.0004620273359321
TEST000032,PROD000020,CHARGE000032,2025-04-01 13:07:10,1.0,1.0004620273359321
TEST000033,PROD000018,CHARGE000033,2025-03-28 19:33:19,10.0,15.04773021736849
TEST000034,PROD000013,CHARGE000034,2025-09-21 14:21:47,1.0,0.9983072806753286
TEST000035,PROD000018,CHARGE000035,2025-10-12 20:37:02,10.0,9.04773021736849
TEST000036,PROD000015,CHARGE000036,2025-09-21 08:49:27,0.5,0.2262233524644983
TEST000037,PROD000019,CHARGE000037,2025-10-07 03:34:49,1.0,1.003892418277343
TEST000038,PROD000001,CHARGE000038,2025-01-26 09:41:06,10.0,10.020503403520998
TEST000039,PROD000007,CHARGE000039,2025-05-02 09:15:15,0.5,0.4969632025310809
TEST000040,PROD000015,CHARGE000040,2025-09-29 11:17:21,0.5,0.4962233524644983
TEST000041,PROD000015,CHARGE000041,2025-01-30 02:34:46,0.5,0.4962233524644983
TEST000042,PROD000010,CHARGE000042,2025-02-06 06:12:33,1.0,0.9980741689328207
TEST000043,PROD000019,CHARGE000043,2025-05-10 06:38:39,1.0,1.003892418277343
TEST000044,PROD000001,CHARGE000044,2025-11-30 18:14:47,10.0,10.020503403520998
TEST000045,PROD000004,CHARGE000045,2025-04-15 16:31:29,0.5,0.5027569204273111
TEST000046,PROD000008,CHARGE000046,2025-05-28 06:15:24,1.0,0.9970952211479145
